model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,lambda_l1,stop_loss,epoch,lr,ig_steps,unlearn_set
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,zero,mult,noise,0.01,0.086750790476799,0.967283308506012,1.0953413248062134,1.1368787288665771,tensor(0.9687),tensor(0.9666),tensor(0.9682),tensor(0.9673),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,zero,mult,ablate,0.01,0.1608832776546478,0.9694976806640624,1.084368348121643,1.1123095750808716,tensor(0.9703),tensor(0.9684),tensor(0.9693),tensor(0.9695),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,zero,mult,mean,0.01,0.159305989742279,0.9695107936859132,1.084442138671875,1.1126106977462769,tensor(0.9704),tensor(0.9684),tensor(0.9694),tensor(0.9695),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,act,mult,noise,0.01,0.0536277629435062,0.9611527919769288,1.1384881734848022,1.1912184953689575,tensor(0.9630),tensor(0.9593),tensor(0.9626),tensor(0.9612),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,act,mult,ablate,0.01,0.1498422771692276,0.9698939323425292,1.0873713493347168,1.1163274049758911,tensor(0.9708),tensor(0.9680),tensor(0.9694),tensor(0.9699),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,act,mult,mean,0.01,0.1529968529939651,0.969947874546051,1.0871195793151855,1.1159158945083618,tensor(0.9707),tensor(0.9680),tensor(0.9695),tensor(0.9699),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,,mult,,,0.1624605655670166,0.9703143835067748,1.08235764503479,1.1087249517440796,tensor(0.9708),tensor(0.9683),tensor(0.9697),tensor(0.9703),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,slim,mult,noise,0.01,0.0820189267396926,0.967722475528717,1.099530577659607,1.1428142786026,tensor(0.9673),tensor(0.9660),tensor(0.9675),tensor(0.9677),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,slim,mult,ablate,0.01,0.1182965338230133,0.9693373441696168,1.0958620309829712,1.1267989873886108,tensor(0.9699),tensor(0.9647),tensor(0.9689),tensor(0.9693),0,1000,0.1,100,0.01,20,mem
4_layer_4000_epoch.pth,slim,mult,mean,0.01,0.1277602612972259,0.9696847200393676,1.0917644500732422,1.1226325035095217,tensor(0.9701),tensor(0.9662),tensor(0.9692),tensor(0.9697),0,1000,0.1,100,0.01,20,mem
