model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,lambda_l1,stop_loss,epoch,lr,ig_steps,unlearn_set
1_layer_2000_epoch.pth,zero,mult,noise,0.1,0.0,0.2807808816432953,534.740234375,540.6253051757812,,,,,,,,,,,
1_layer_2000_epoch.pth,zero,mult,ablate,0.1,0.0,0.4914117455482483,18.896928787231445,20.964147567749023,,,,,,,,,,,
1_layer_2000_epoch.pth,zero,mult,mean,0.1,0.0,0.2811540365219116,525.51611328125,539.9110107421875,,,,,,,,,,,
1_layer_2000_epoch.pth,zero,mult,noise,0.1,0.0,0.2816085815429687,531.3739624023438,537.747314453125,,,,,,,,,,,
1_layer_2000_epoch.pth,zero,mult,ablate,0.1,0.0,0.4914117455482483,18.896928787231445,20.964147567749023,,,,,,,,,,,
1_layer_2000_epoch.pth,zero,mult,mean,0.1,0.0,0.2810932993888855,528.1802368164062,540.140625,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,noise,0.1,0.0,0.1387107670307159,102.35283660888672,102.70974731445312,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,ablate,0.1,0.0,0.2750858664512634,69.85964965820312,68.6480941772461,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,mean,0.1,0.0,0.2846561074256897,72.87488555908203,71.90235900878906,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,noise,0.01,0.0,0.1945990473031997,98.12019348144533,98.09131622314452,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,ablate,0.01,0.0148514853790402,0.9518024921417236,1.267242670059204,1.363212823867798,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,mean,0.01,0.0181518159806728,0.9554848670959472,1.2424896955490112,1.333986759185791,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,noise,0.01,0.0,0.1933164447546005,97.3840789794922,97.42798614501952,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,ablate,0.01,0.0148514853790402,0.9518024921417236,1.267242670059204,1.363212823867798,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,mean,0.01,0.0181518159806728,0.9554848670959472,1.2424896955490112,1.333986759185791,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,noise,0.01,0.0,0.2725492715835571,266.7287292480469,267.28472900390625,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,ablate,0.01,0.0033003301359713,0.865012526512146,1.8986963033676147,2.165563106536865,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,mean,0.01,0.0049504954367876,0.8770864009857178,1.78643000125885,2.029731273651123,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,noise,0.01,0.0,0.2374739199876785,86.97957611083984,87.7271728515625,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,ablate,0.01,0.0825082510709762,0.9902735352516174,1.0336720943450928,1.0873265266418457,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,mean,0.01,0.0874587520956993,0.9907711744308472,1.0316569805145264,1.084047555923462,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,noise,0.01,0.0,0.2799144983291626,42.16120147705078,41.87530899047852,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,ablate,0.01,0.0643564388155937,0.9816925525665284,1.0849368572235107,1.1589699983596802,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,mean,0.01,0.0709570944309234,0.982934296131134,1.0786248445510864,1.1495550870895386,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,noise,0.01,0.0,0.2731890082359314,266.21875,263.19873046875,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,ablate,0.01,0.0033003301359713,0.865012526512146,1.8986963033676147,2.165563106536865,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,mean,0.01,0.0049504954367876,0.8770864009857178,1.78643000125885,2.029731273651123,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,noise,0.01,0.0,0.79796302318573,3.5087172985076904,3.792981624603272,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,ablate,0.01,0.0033003301359713,0.865012526512146,1.8986963033676147,2.165563106536865,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,mean,0.01,0.0049504954367876,0.8770864009857178,1.78643000125885,2.029731273651123,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,noise,0.01,0.0,0.7964301109313965,3.608119249343872,3.907242774963379,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,ablate,0.01,0.0033003301359713,0.865012526512146,1.8986963033676147,2.165563106536865,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,mean,0.01,0.0049504954367876,0.8770864009857178,1.78643000125885,2.029731273651123,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,noise,0.01,0.0,0.665350079536438,6.641449451446533,6.7902445793151855,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,ablate,0.01,0.0148514853790402,0.9518024921417236,1.267242670059204,1.363212823867798,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,mean,0.01,0.0181518159806728,0.9554848670959472,1.2424896955490112,1.333986759185791,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,noise,0.01,0.0,0.8887346386909485,1.825059175491333,1.9774069786071773,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,ablate,0.01,0.0825082510709762,0.9902697205543518,1.0336980819702148,1.0873265266418457,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,mean,0.01,0.0874587520956993,0.9907681345939636,1.0316648483276367,1.084047555923462,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,noise,0.01,0.0,0.8299218416213989,2.6245276927948,2.7876336574554443,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,ablate,0.01,0.0643564388155937,0.9816925525665284,1.0849368572235107,1.1589699983596802,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,mean,0.01,0.0709570944309234,0.982934296131134,1.0786248445510864,1.1495550870895386,,,,,,,,,,,
4_layer_2000_epoch.pth,ig,mult,noise,0.01,0.0,0.7283087968826294,5.407143592834473,5.884549617767334,,,,,,,,,,,
4_layer_2000_epoch.pth,ig,mult,ablate,0.01,0.0,0.3335833251476288,34.33184051513672,35.99101638793945,,,,,,,,,,,
4_layer_2000_epoch.pth,ig,mult,mean,0.01,0.0,0.3503062725067138,34.060157775878906,35.56338882446289,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,noise,0.02,0.0,0.557102382183075,17.443845748901367,17.905275344848633,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,ablate,0.02,0.0,0.5626806020736694,8.63725757598877,9.370698928833008,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,mean,0.02,0.0,0.5735681653022766,8.599361419677734,9.30352783203125,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,noise,0.02,0.0,0.5212835073471069,14.605372428894045,15.071084022521973,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,ablate,0.02,0.0,0.2922937273979187,72.25704956054688,73.70321655273438,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,mean,0.02,0.0,0.2968687713146209,74.36817932128906,76.00267791748047,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,noise,0.02,0.0,0.78068608045578,3.139277219772339,3.534707307815552,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,ablate,0.02,0.0363036319613456,0.9808077812194824,1.077134370803833,1.1685724258422852,,,,,,,,,,,
4_layer_2000_epoch.pth,slim,mult,mean,0.02,0.0412541255354881,0.9819068908691406,1.0711396932601929,1.160829782485962,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,noise,0.02,0.0,0.6232179999351501,8.6995210647583,9.301562309265137,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,ablate,0.02,0.0,0.819261908531189,2.627408742904663,2.992339611053467,,,,,,,,,,,
4_layer_2000_epoch.pth,hc,mult,mean,0.02,0.0,0.830109179019928,2.412238597869873,2.747300148010254,,,,,,,,,,,
4_layer_2000_epoch.pth,ig,mult,noise,0.02,0.0,0.5418363213539124,20.07253074645996,21.339656829833984,,,,,,,,,,,
4_layer_2000_epoch.pth,ig,mult,ablate,0.02,0.0,0.2535955905914306,39.79977416992188,41.06557083129883,,,,,,,,,,,
4_layer_2000_epoch.pth,ig,mult,mean,0.02,0.0,0.2664546966552734,36.17744827270508,37.2587776184082,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,noise,0.03,0.0,0.4697998464107513,31.47919654846192,31.579435348510746,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,ablate,0.03,0.0,0.4140183925628662,18.337984085083008,18.65211677551269,,,,,,,,,,,
4_layer_2000_epoch.pth,zero,mult,mean,0.03,0.0,0.41119185090065,21.391223907470703,21.67901039123535,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,noise,0.03,0.0,0.4609570503234863,20.371654510498047,20.78082847595215,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,ablate,0.03,0.0,0.3244061470031738,58.03497695922852,58.888702392578125,,,,,,,,,,,
4_layer_2000_epoch.pth,act,mult,mean,0.03,0.0,0.3253279626369476,63.49245834350586,64.40309143066406,,,,,,,,,,,
